Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: US Airways Inc. (US)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"US","01/11/2015","1898","N579UW","CLT","23:53","24:00"
"US","01/11/2015","2017","N652AW","CLT","16:05","16:14"
"US","01/12/2015","0425","N572UW","PHX","16:54","16:49"
"US","01/12/2015","0622","N675AW","PHX","23:09","23:03"
"US","01/12/2015","0630","N540UW","PHX","20:30","20:30"
"US","01/12/2015","0698","N176UW","CLT","15:16","16:08"
"US","01/12/2015","1830","N114UW","CLT","11:01","11:22"
"US","01/12/2015","2017","N102UW","CLT","16:05","16:00"
"US","01/12/2015","2042","N194UW","CLT","09:19","10:08"
"US","01/13/2015","0425","N585UW","PHX","16:54","17:00"
"US","01/13/2015","0622","N604AW","PHX","23:09","23:11"
"US","01/13/2015","0698","N587UW","CLT","15:16","15:12"
"US","01/13/2015","1830","N114UW","CLT","11:01","10:56"
"US","01/13/2015","2017","N119US","CLT","16:05","15:50"
"US","01/13/2015","2042","N548UW","CLT","09:19","09:16"
"US","01/14/2015","0425","N156UW","PHX","16:54","16:52"
"US","01/14/2015","0622","N601AW","PHX","23:09","23:00"
"US","01/14/2015","0630","N581UW","PHX","20:30","20:36"
"US","01/14/2015","0698","N583UW","CLT","15:16","15:22"
"US","01/14/2015","1830","N125UW","CLT","11:01","11:01"
"US","01/14/2015","1898","N541UW","CLT","23:53","23:36"
"US","01/14/2015","2017","N103US","CLT","16:05","15:58"
"US","01/14/2015","2042","N556UW","CLT","09:19","09:14"
"US","01/15/2015","0425","N157UW","PHX","16:54","17:17"
"US","01/15/2015","0622","N660AW","PHX","23:09","22:58"
"US","01/15/2015","0630","N195UW","PHX","20:30","20:33"
"US","01/15/2015","0632","N581UW","PHX","05:07","05:02"
"US","01/15/2015","0698","N153UW","CLT","15:16","15:31"
"US","01/15/2015","1830","N104UW","CLT","11:01","11:40"
"US","01/15/2015","1898","N173US","CLT","23:53","00:08"
"US","01/15/2015","2017","N107US","CLT","16:05","16:24"
"US","01/15/2015","2042","N582UW","CLT","09:19","09:16"
"US","01/16/2015","0425","N580UW","PHX","16:54","17:07"
"US","01/16/2015","0622","N680AW","PHX","23:09","23:08"
"US","01/16/2015","0632","N195UW","PHX","05:07","05:00"
"US","01/16/2015","0698","N545UW","CLT","15:16","15:30"
"US","01/16/2015","1830","N107US","CLT","11:01","11:06"
"US","01/16/2015","1898","N580UW","CLT","23:53","00:08"
"US","01/16/2015","2017","N109UW","CLT","16:05","15:56"
"US","01/16/2015","2042","N185UW","CLT","09:19","09:48"
"US","01/17/2015","0425","N564UW","PHX","16:54","16:41"
"US","01/17/2015","0622","N649AW","PHX","23:09","23:08"
"US","01/17/2015","0630","N558UW","PHX","20:30","20:19"
"US","01/17/2015","0698","N559UW","CLT","15:16","15:58"
"US","01/17/2015","1830","N807AW","CLT","11:01","11:08"
"US","01/17/2015","1898","N150UW","CLT","23:53","23:51"
"US","01/17/2015","2017","N553UW","CLT","16:05","16:52"
"US","01/17/2015","2042","N157UW","CLT","09:19","09:42"
"US","01/18/2015","0425","N162UW","PHX","16:54","17:16"
"US","01/18/2015","0622","N656AW","PHX","23:09","23:08"
"US","01/18/2015","0630","N183UW","PHX","20:30","21:45"
"US","01/18/2015","0632","N559UW","PHX","05:07","04:55"
"US","01/18/2015","0698","N572UW","CLT","15:16","15:19"
"US","01/18/2015","1830","N535UW","CLT","11:01","10:46"
"US","01/18/2015","1898","N187US","CLT","23:53","23:40"
"US","01/18/2015","2017","N104UW","CLT","16:05","16:32"
"US","01/19/2015","0425","N587UW","PHX","16:54","16:38"
"US","01/19/2015","0622","N602AW","PHX","23:09","23:11"
"US","01/19/2015","0630","N192UW","PHX","20:30","21:29"
"US","01/19/2015","0698","N568UW","CLT","15:16","15:06"
"US","01/19/2015","1830","N119US","CLT","11:01","11:02"
"US","01/19/2015","2017","N108UW","CLT","16:05","16:01"
"US","01/19/2015","2042","N913US","CLT","09:19","09:25"
"US","01/20/2015","0425","N580UW","PHX","16:54","16:35"
"US","01/20/2015","0622","N664AW","PHX","23:09","22:53"
"US","01/20/2015","0698","N557UW","CLT","15:16","15:11"
"US","01/20/2015","1830","N119US","CLT","11:01","10:50"
"US","01/20/2015","2017","N103US","CLT","16:05","15:48"
"US","01/20/2015","2042","N154UW","CLT","09:19","09:16"
"US","01/21/2015","0425","N535UW","PHX","16:54","16:37"
"US","01/21/2015","0622","N602AW","PHX","23:09","22:55"
"US","01/21/2015","0630","N550UW","PHX","20:30","21:48"
"US","01/21/2015","0698","N576UW","CLT","15:16","15:15"
"US","01/21/2015","1830","N119US","CLT","11:01","10:52"
"US","01/21/2015","1898","N167US","CLT","23:53","00:05"
"US","01/21/2015","2017","N631AW","CLT","16:05","16:03"
"US","01/21/2015","2042","N153UW","CLT","09:19","09:13"
"US","01/22/2015","0425","N586UW","PHX","16:54","16:48"
"US","01/22/2015","0622","N640AW","PHX","23:09","22:58"
"US","01/22/2015","0630","N170US","PHX","20:30","20:25"
"US","01/22/2015","0632","N550UW","PHX","05:07","04:57"
"US","01/22/2015","0698","N163US","CLT","15:16","15:14"
"US","01/22/2015","1830","N109UW","CLT","11:01","11:12"
