Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"OH","01/29/2019","5458","N503AE","DCA","14:34","00:00"
"OH","01/30/2018","5019","N710PS","DCA","20:51","20:34"
"OH","01/30/2019","5444","N511AE","DCA","16:05","16:12"
"OH","01/30/2019","5458","N518AE","DCA","14:34","14:04"
"OH","01/31/2018","5019","N712PS","DCA","20:51","20:33"
"OH","01/31/2019","5444","N539EA","DCA","16:05","16:14"
"OH","01/31/2019","5458","N708PS","DCA","14:34","14:07"
"OH","02/01/2018","5019","N511AE","DCA","20:51","20:55"
"OH","02/01/2019","5444","N525EA","DCA","16:05","21:11"
"OH","02/01/2019","5458","N539EA","DCA","14:34","16:59"
"OH","02/02/2018","5019","N708PS","DCA","20:51","00:00"
"OH","02/02/2019","5318","N525EA","RDU","10:11","09:57"
"OH","02/02/2019","5458","N525EA","DCA","14:34","14:20"
"OH","02/03/2018","5019","N703PS","DCA","20:51","20:25"
"OH","02/03/2019","5444","N505AE","DCA","16:05","15:51"
"OH","02/03/2019","5458","N525EA","DCA","14:35","14:07"
"OH","02/04/2018","5019","N539EA","DCA","20:51","21:20"
"OH","02/04/2019","5444","N705PS","DCA","16:05","15:39"
"OH","02/04/2019","5458","N521AE","DCA","14:34","14:11"
"OH","02/05/2018","5019","N500AE","DCA","20:51","21:05"
"OH","02/05/2019","5444","N525EA","DCA","16:05","15:36"
"OH","02/05/2019","5458","N540EA","DCA","14:34","14:15"
"OH","02/06/2018","5019","N544AE","DCA","20:51","20:50"
"OH","02/06/2019","5444","N705PS","DCA","16:05","15:48"
"OH","02/06/2019","5458","N507AE","DCA","14:34","14:21"
"OH","02/07/2018","5019","N546FF","DCA","20:51","20:38"
"OH","02/07/2019","5444","N705PS","DCA","16:05","15:41"
"OH","02/07/2019","5458","N719PS","DCA","14:34","14:21"
"OH","02/08/2018","5019","N515AE","DCA","20:51","20:31"
"OH","02/08/2019","5444","N512AE","DCA","16:05","16:38"
"OH","02/08/2019","5458","N708PS","DCA","14:34","14:42"
"OH","02/09/2018","5019","N705PS","DCA","20:51","20:55"
"OH","02/09/2019","5318","N515AE","RDU","10:11","09:47"
"OH","02/09/2019","5458","N501BG","DCA","14:34","14:11"
"OH","02/10/2018","5019","N501AE","DCA","20:51","21:01"
"OH","02/10/2019","5444","N509AE","DCA","16:05","15:45"
"OH","02/10/2019","5458","N719PS","DCA","14:35","14:04"
"OH","02/11/2018","5019","N546FF","DCA","20:51","22:56"
"OH","02/11/2019","5444","N710PS","DCA","16:05","15:53"
"OH","02/11/2019","5458","N512AE","DCA","14:34","14:23"
"OH","02/12/2018","5019","N708PS","DCA","20:51","20:46"
"OH","02/12/2019","5444","N513AE","DCA","16:05","00:00"
"OH","02/12/2019","5458","N516AE","DCA","14:34","14:18"
"OH","02/13/2018","5019","N725PS","DCA","20:51","22:07"
"OH","02/13/2019","5444","N708PS","DCA","16:05","16:09"
"OH","02/13/2019","5458","N710PS","DCA","14:34","14:09"
"OH","02/14/2018","5019","N709PS","DCA","20:51","20:38"
"OH","02/14/2019","5444","N716PS","DCA","16:27","16:14"
"OH","02/14/2019","5458","N520DC","DCA","14:37","14:19"
"OH","02/15/2018","5019","N705PS","DCA","20:54","21:30"
"OH","02/15/2019","5444","N507AE","DCA","16:27","16:10"
"OH","02/15/2019","5458","N503AE","DCA","14:37","15:05"
"OH","02/16/2018","5019","N544AE","DCA","20:54","00:00"
"OH","02/16/2019","5444","N500AE","RDU","10:30","10:35"
"OH","02/16/2019","5458","N504AE","DCA","14:37","14:16"
"OH","02/17/2018","5019","N719PS","DCA","20:54","21:30"
"OH","02/17/2019","5444","N530EA","DCA","16:23","16:40"
"OH","02/17/2019","5458","N516AE","DCA","14:37","16:02"
"OH","02/18/2018","5019","N539EA","DCA","20:54","20:33"
"OH","02/18/2019","5444","N504AE","DCA","16:27","16:19"
"OH","02/18/2019","5458","N503AE","DCA","14:37","14:33"
"OH","02/19/2018","5019","N503AE","DCA","20:54","22:30"
"OH","02/19/2019","5444","N505AE","DCA","16:27","16:19"
"OH","02/19/2019","5458","N510AE","DCA","14:37","14:06"
"OH","02/20/2018","5019","N501AE","DCA","20:54","21:08"
"OH","02/20/2019","5444","","DCA","16:27","00:00"
"OH","02/20/2019","5458","N504AE","DCA","14:37","00:00"
"OH","02/21/2018","5019","N546FF","DCA","20:54","20:31"
"OH","02/21/2019","5444","N537EA","DCA","16:27","16:01"
"OH","02/21/2019","5458","N521AE","DCA","14:37","14:23"
"OH","02/22/2018","5019","N502AE","DCA","20:54","21:26"
"OH","02/22/2019","5444","N500AE","DCA","16:27","00:00"
"OH","02/22/2019","5458","N501BG","DCA","14:37","14:19"
"OH","02/23/2018","5019","N511AE","DCA","20:54","20:45"
"OH","02/23/2019","5444","N537EA","RDU","10:30","10:18"
"OH","02/23/2019","5458","N537EA","DCA","14:37","14:25"
"OH","02/24/2018","5019","N546FF","DCA","20:54","22:37"
"OH","02/24/2019","5444","","DCA","16:23","00:00"
"OH","02/24/2019","5458","N515AE","DCA","14:37","16:29"
"OH","02/25/2018","5019","N708PS","DCA","20:54","21:32"
"OH","02/25/2019","5444","","DCA","16:27","00:00"
"OH","02/25/2019","5458","N507AE","DCA","14:37","16:20"
"OH","02/26/2018","5019","N510AE","DCA","20:54","21:21"
"OH","02/26/2019","5444","","DCA","16:27","00:00"
"OH","02/26/2019","5458","N712PS","DCA","14:37","14:17"
"OH","02/27/2018","5019","N708PS","DCA","20:54","21:01"
"OH","02/27/2019","5444","","DCA","16:27","00:00"
"OH","02/27/2019","5458","N710PS","DCA","14:37","14:39"
"OH","02/28/2018","5019","N546FF","DCA","20:54","20:37"
"OH","02/28/2019","5444","","DCA","16:27","00:00"
"OH","02/28/2019","5458","N723PS","DCA","14:37","14:34"
"OH","03/01/2018","5019","N723PS","DCA","20:54","21:21"
"OH","03/01/2019","5444","","DCA","16:27","00:00"
"OH","03/01/2019","5458","N506AE","DCA","14:37","14:22"
"OH","03/02/2018","5019","N516AE","DCA","20:54","00:00"
"OH","03/02/2019","5444","N539EA","RDU","10:30","10:16"
"OH","03/02/2019","5458","N539EA","DCA","14:37","14:19"
"OH","03/03/2018","5019","N516AE","DCA","20:54","20:33"
"OH","03/03/2019","5444","N545PB","DCA","16:13","15:44"
"OH","03/03/2019","5458","N566NN","DCA","14:32","14:34"
"OH","03/04/2018","5019","N723PS","DCA","20:48","22:28"
"OH","03/04/2019","5444","N526EA","DCA","16:17","16:05"
"OH","03/04/2019","5458","N545PB","DCA","14:32","14:17"
"OH","03/05/2018","5019","N712PS","DCA","20:48","21:26"
"OH","03/05/2019","5444","N526EA","DCA","16:17","16:15"
"OH","03/05/2019","5458","N525EA","DCA","14:32","14:16"
"OH","03/06/2018","5019","N540EA","DCA","20:48","20:46"
"OH","03/06/2019","5444","N708PS","DCA","16:17","15:58"
"OH","03/06/2019","5458","N705PS","DCA","14:32","14:35"
